N	F0	PER	d0	v0	collision
8	-6	0.470000	5.574000	34	0
4	-5	0.450000	6.957000	16	0
5	-6	0.260000	5.984000	68	0
6	-4	0.300000	4.919000	19	0
7	-2	0.260000	7.285000	42	0
3	-4	0.430000	5.982000	27	0
3	-8	0.350000	4.415000	59	0
6	-4	0.400000	8.176000	79	0
3	-6	0.240000	4.413000	86	0
7	-3	0.330000	4.598000	15	0
4	-2	0.420000	8.840000	51	0
5	-7	0.420000	8.641000	80	0
8	-6	0.380000	6.410000	85	0
5	-5	0.360000	5.303000	28	0
7	-5	0.430000	4.388000	21	0
6	-2	0.340000	5.691000	76	0
6	-7	0.330000	5.735000	22	0
8	-8	0.420000	8.828000	14	0
4	-2	0.380000	4.096000	59	0
5	-7	0.250000	6.254000	72	0
3	-5	0.360000	7.969000	42	0
7	-2	0.340000	4.168000	54	0
6	-2	0.340000	8.364000	49	0
6	-5	0.430000	6.279000	31	0
8	-1	0.220000	7.075000	87	0
7	-3	0.250000	8.506000	38	0
8	-4	0.370000	4.847000	26	0
4	-6	0.380000	8.100000	87	0
6	-5	0.320000	7.057000	64	0
4	-5	0.490000	8.836000	42	0
5	-7	0.210000	6.635000	28	0
8	-2	0.410000	8.570000	88	0
6	-5	0.220000	7.814000	31	0
3	-7	0.460000	6.347000	53	0
8	-8	0.330000	5.650000	84	1
6	-5	0.460000	7.881000	78	0
8	-4	0.400000	5.104000	59	0
3	-2	0.290000	5.519000	27	0
5	-6	0.460000	4.799000	85	0
6	-6	0.220000	4.848000	26	0
6	-2	0.340000	6.376000	65	0
3	-4	0.210000	5.072000	63	0
6	-2	0.420000	8.672000	13	0
8	-7	0.370000	5.358000	81	1
7	-7	0.480000	5.708000	14	0
8	-1	0.480000	5.498000	43	0
6	-5	0.290000	7.927000	46	0
4	-2	0.250000	8.402000	63	0
3	-4	0.210000	4.060000	50	0
4	-2	0.430000	5.195000	41	0
5	-7	0.300000	4.071000	50	1
4	-8	0.300000	5.990000	17	0
6	-4	0.450000	4.142000	17	0
4	-4	0.450000	7.556000	49	0
5	-7	0.330000	6.666000	29	0
7	-8	0.210000	8.460000	20	0
